# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.10965147043731249,0.012023444969064816,0.10965147043731249,1.0,0.0,0.72,Infinity,0.0,0.0,0.0
 0.15522049880814767,0.024093403250250174,0.2648719692454602,3.406271855194767,0.0,1.44,Infinity,0.0,0.0,0.0
 0.19028744021753638,0.036209309904542485,0.3455079390256841,2.299486825464473,0.0,2.16,Infinity,0.0,0.0,0.0
 0.2199331716520455,0.048370599992928115,0.41022061186958175,2.1828664604499797,0.0,2.88,Infinity,0.0,0.0,0.0
 0.2461233604849273,0.060576708576393475,0.4660565321369728,2.131940346962639,0.0,3.6,Infinity,0.0,0.0,0.0
 0.26986491197620516,0.07282707071592495,0.5159882724611323,2.103137208303485,0.0,4.32,Infinity,0.0,0.0,0.0
 0.29175524240792816,0.08512112147250891,0.5616201543841333,2.0845679815263174,0.0,5.04,Infinity,0.0,0.0,0.0
 0.312183112783398,0.09745829590713179,0.6039383551913262,2.071591410625428,0.0,5.76,Infinity,0.0,0.0,0.0
 0.33141820873449296,0.10983802908077994,0.6436013215178912,2.0620103183996408,0.0,6.48,Infinity,0.0,0.0,0.0
 0.3496566259266936,0.12225975605443976,0.6810748346611872,2.054647217924205,0.0,7.200000000000001,Infinity,0.0,0.0,0.0
 0.3670461985760071,0.13472291188909766,0.7167028245027005,2.04881342169842,0.0,7.920000000000002,Infinity,0.0,0.0,0.0
 0.38370161798686747,0.14722693164573997,0.7507478165628735,2.044078940334193,0.0,8.640000000000002,Infinity,0.0,0.0,0.0
 0.3997139607085962,0.15977125038535317,0.7834155786954625,2.040161311827213,0.0,9.360000000000003,Infinity,0.0,0.0,0.0
 0.4151569620865385,0.17235530316892356,0.8148709227951353,2.0368672727441037,0.0,10.080000000000004,Infinity,0.0,0.0,0.0
 0.43009129851397554,0.18497852505743761,0.8452482606005154,2.0340600972113863,0.0,10.800000000000004,Infinity,0.0,0.0,0.0
 0.4445676001598426,0.1976403511118817,0.8746588986738195,2.031640317587662,0.0,11.520000000000005,Infinity,0.0,0.0,0.0
 0.4586286257891477,0.2103402163932421,0.9031962259489908,2.02953383540498,0.0,12.240000000000006,Infinity,0.0,0.0,0.0
 0.47231086792758153,0.22307755596250536,0.9309394937167272,2.0276843142400405,0.0,12.960000000000006,Infinity,0.0,0.0,0.0
 0.48564576069462173,0.23585180488065777,0.9579566286222013,2.0260481563265533,0.0,13.680000000000007,Infinity,0.0,0.0,0.0
 0.49866060422765085,0.2486623982086858,0.9843063649222719,2.024591093484918,0.0,14.400000000000007,Infinity,0.0,0.0,0.0
 0.5113792829276288,0.26150877100757575,1.0100398871552767,2.0232858176572592,0.0,15.120000000000008,Infinity,0.0,0.0,0.0
 0.5238228310586645,0.27439035833831404,1.0352021139862932,2.0221102989314623,0.0,15.840000000000009,Infinity,0.0,0.0,0.0
 0.5360098835486965,0.28730659526188707,1.0598327146073576,2.0210465689886923,0.0,16.56000000000001,Infinity,0.0,0.0,0.0
 0.5479570392277859,0.30025691683928124,1.083966922776484,2.0200798263110844,0.0,17.280000000000012,Infinity,0.0,0.0,0.0
 0.5596791564204291,0.313240758131483,1.1076361956482115,2.019197768009204,0.0,18.00000000000001,Infinity,0.0,0.0,0.0
 0.5711895956680922,0.3262575541994786,1.1308687520885248,2.018390084030023,0.0,18.720000000000013,Infinity,0.0,0.0,0.0
 0.5825004206901954,0.33930674010425455,1.153690016358293,2.017648069453108,0.0,19.440000000000012,Infinity,0.0,0.0,0.0
 0.5936225660356901,0.3523877509067972,1.1761229867258851,2.016964323944846,0.0,20.160000000000014,Infinity,0.0,0.0,0.0
 0.6045659779280446,0.3655000216680928,1.1981885439637332,2.0163325163027075,0.0,20.880000000000013,Infinity,0.0,0.0,0.0
 0.6153397333580273,0.37864298744912805,1.2199057112860723,2.0157471982240764,0.0,21.600000000000016,Infinity,0.0,0.0,0.0
 0.6259521413901299,0.39181608331088913,1.2412918747481587,2.015203655701244,0.0,22.320000000000014,Infinity,0.0,0.0,0.0
 0.6364108298217138,0.40501874431436236,1.2623629712118436,2.014697789452529,0.0,23.040000000000017,Infinity,0.0,0.0,0.0
 0.6467228196998575,0.4182504055205343,1.2831336495215686,2.0142260179821037,0.0,23.760000000000016,Infinity,0.0,0.0,0.0
 0.6568945897100928,0.4315105019903912,1.3036174094099546,2.0137851984240833,0.0,24.480000000000018,Infinity,0.0,0.0,0.0
 0.6669321320681136,0.4447984687849197,1.3238267217781996,2.013372561471298,0.0,25.200000000000017,Infinity,0.0,0.0,0.0
 0.6768410012440927,0.4581137409651059,1.3437731333122067,2.0129856575723926,0.0,25.92000000000002,Infinity,0.0,0.0,0.0
 0.686626356610301,0.47145575359193626,1.3634673578543999,2.0126223121342255,0.0,26.64000000000002,Infinity,0.0,0.0,0.0
 0.6962929999119605,0.4848239417263973,1.3829193565222553,2.012280588083366,0.0,27.36000000000002,Infinity,0.0,0.0,0.0
 0.7058454083079916,0.4982177404294752,1.4021384082199437,2.0119587543675053,0.0,28.08000000000002,Infinity,0.0,0.0,0.0
 0.715287763604381,0.5116365847621567,1.421133171912379,2.011655259329056,0.0,28.800000000000022,Infinity,0.0,0.0,0.0
