# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-172.9451055683452,-90.0,0.4775825908095892,2.093878669875337,0.0,0.0
 0.06625463470869512,0.01097419155095657,0.1656365867717378,2.4999999999999996,-172.9451055683452,-90.48,0.4775825908095892,2.093878669875337,0.0,0.0
 0.09360915833021358,0.021906686308227487,0.3996594825972719,8.555180819944525,-173.2448273520704,-90.96,0.4790676877360781,2.0873877024052336,-10.956936698008597,-400.5530072323876
 0.11453879435021608,0.03279783852800273,0.5203698817010741,5.767439003164652,-173.54434149782745,-91.44,0.48051112904655946,2.081117251090982,-14.31052816546036,-160.23171469617182
 0.13213326367318906,0.04364799842232127,0.6166801450585133,5.473894187401692,-173.84362469313535,-91.92,0.48191244244223813,2.075065742092475,-17.01007230250123,-153.43140435137158
 0.14759066654309622,0.05445751212658856,0.6993098255407131,5.3456380206706795,-174.14265360245557,-92.4,0.48327117212505644,2.0692316398736676,-19.345352633746092,-151.07844124262581
 0.1615261237915249,0.06522672166778758,0.7727919758365533,5.273034747684788,-174.44140487466427,-92.88,0.48458687932698175,2.063613446135499,-21.43821095230867,-150.1822495848536
 0.17430543873720006,0.07595596493341954,0.8395789063218136,5.226174546066935,-174.73985515050308,-93.36,0.4858591423342905,2.058209700851857,-23.35416860038989,-149.92647541953198
 0.18616721047613197,0.08664557564116109,0.9011816230333305,5.193382410936855,-175.0379810699733,-93.84,0.4870875566801918,2.053018982491832,-25.133338090780388,-149.99188397387775
 0.19727735126899656,0.0972958833092777,0.9586114043628226,5.169131732909801,-175.3357592796877,-94.32,0.4882717354687522,2.048039907614101,-26.802379489702023,-150.22684500934196
 0.2077567936100211,0.10790721322779233,1.0125853621975447,5.150460881246211,-175.633166440161,-94.8,0.4894113092907077,2.043271132106196,-28.380055998689752,-150.54966262961273
 0.21769693284970296,0.11847988643042026,1.0636343161493111,5.135637712998514,-175.93017923303478,-95.28,0.4905059264996152,2.038711350821537,-29.880144101810814,-150.91218210833372
 0.2271688532059864,0.12901421966730756,1.112164465139223,5.12358076973464,-176.2267743682257,-95.76,0.49155525321662547,2.0343592982807692,-31.313094286543123,-151.2840195897265
 0.23622914754835264,0.13951052537855346,1.1584950018858466,5.113579647184355,-176.52292859099097,-96.24000000000001,0.4925589734887414,2.03021374865452,-32.687042117437045,-151.6449443004626
 0.24492375276281195,0.14996911166854762,1.2028822507779098,5.105148284162027,-176.81861868890155,-96.72,0.49351678926344617,2.0262735164338777,-34.008455889270934,-151.98088231037167
 0.25329057012146317,0.1603902822811397,1.245535807210691,5.097942814381842,-177.11382149871855,-97.2,0.49442842039488655,2.0225374568907815,-35.28256888645488,-152.28167922974066
 0.26136131050760075,0.17077433657562632,1.2866297015726618,5.09171307660375,-177.40851391316968,-97.68,0.49529360470892225,2.0190044662250126,-36.5136778476095,-152.53977977896363
 0.2691628276739478,0.18112156950358832,1.3263103454538667,5.086272712745305,-177.70267288759723,-98.16,0.4961120979018889,2.0156734823220535,-37.7053550168983,-152.74941320763583
 0.27671810319283,0.19143227158659434,1.3647023271669423,5.081480035655328,-177.9962754464978,-98.64,0.49688367352154467,2.0125434851033406,-38.860602524263356,-152.9060726478929
 0.28404698829225056,0.20170672889474486,1.4019127287127042,5.077225395265648,-178.28929868993112,-99.12,0.49760812288013107,2.009613497086924,-39.98196716939788,-153.00617077803292
 0.29116677216063036,0.2119452230261011,1.4380344011321997,5.073422604851547,-178.58171979979485,-99.60000000000001,0.49828525486926656,2.0068825842786913,-41.0716273512765,-153.04680619842742
 0.2980926239188015,0.22214803108699005,1.4731484901985763,5.070002981936335,-178.87351604594122,-100.08000000000001,0.49891489601481076,2.0043498560329898,-42.131459975606155,-153.02560050888616
 0.30483794099369793,0.23231542567319316,1.5073264122812482,5.066911118214049,-179.16466479218423,-100.56,0.49949689009674253,2.0020144666092317,-43.163092707168616,-152.94058383138352
 0.31141462705019285,0.24244767485202673,1.5406314201097213,5.064101820031715,-179.45514350210263,-101.04,0.5000310981644343,1.9998756150785486,-44.16794528781743,-152.79010918522616
 0.317833316155073,0.25254504214532636,1.5731198580131556,5.061537858054732,-179.74492974472972,-101.52000000000001,0.5005173981359188,1.9979325468491376,-45.14726260955112,-152.5727926266295
 0.32410355537286195,0.26260778651332445,1.6048421788198461,5.059188286898665,179.9659987999701,-102.0,0.5009556847462371,1.9961845537426284,57367.97529577228,9156448.512442412
 0.3302339548498617,0.2726361623394512,1.6358437755568151,5.057027173071186,179.67766433575508,-102.48,0.5013458692356436,1.994630975068387,-47.0335522663456,-9365622.756469708
 0.3362323121985893,0.282630419416024,1.6661656676211227,5.055032620012134,179.39008894497104,-102.96000000000001,0.5016878789550856,1.9932711989829168,-47.94235722635447,-151.50897273595237
 0.3421057163690085,0.29259080293088124,1.6958450714190034,5.053186012186588,179.10329458357214,-103.44000000000001,0.5019816572788353,1.9921046625903525,-48.829325051957916,-151.0142670021865
 0.34786063499907915,0.3025175534549065,1.7249158784202252,5.051471422953002,178.81730307635965,-103.92000000000002,0.5022271630797914,1.9911308537509846,-49.69514351047666,-150.4484275406895
 0.35350298834974225,0.3124109069304951,1.7534090583720594,5.049875146242948,178.53213611239113,-104.4,0.5024243705693331,1.9903493114134336,-50.5404298961499,-149.81096240169077
